Nuclide,Parent,Comparator counts/ng,Sample counts/ng,Uncertainty,Location
Sb-132,U-235,68.26,68.11,0.0229,PT-1
Y-94,U-235,35.69,33.19,0.0399,PT-1
Sr-93,U-235,33.82,33.38,0.0384,PT-1
Rb-90,U-235,82.92,57.82,0.0272,PT-1
Ce-145,U-235,77.62,91.27,0.0207,PT-1
Sb-132,U-235,82.26,80.47,0.0231,PT-1
Cs-140,U-235,64.38,58.47,0.0302,PT-1
Sr-93,U-235,122.81,120.16,0.0180,PT-1
Rh-108,U-235,46.17,41.04,0.0659,PT-1
Te-133,U-235,63.26,62.35,0.0330,PT-1
La-144,U-235,73.37,80.50,0.0272,PT-1
Tc-104,U-235,35.11,40.64,0.0526,PT-1
Sr-94,U-235,65.62,63.82,0.0225,PT-1
Sb-132,U-235,68.26,66.19,0.0237,PT-1
Y-94,U-235,35.69,32.02,0.0411,PT-1
Sr-93,U-235,33.82,31.13,0.0418,PT-1
Rb-90,U-235,82.92,64.56,0.0251,PT-1
Ce-145,U-235,77.62,86.61,0.0215,PT-1
Sb-132,U-235,82.26,75.52,0.0239,PT-1
Cs-140,U-235,64.38,59.92,0.0296,PT-1
Sr-93,U-235,122.81,120.02,0.0182,PT-1
Rh-108,U-235,46.17,43.22,0.0628,PT-1
Te-133,U-235,63.26,69.48,0.0299,PT-1
La-144,U-235,73.37,78.03,0.0278,PT-1
Tc-104,U-235,35.11,38.90,0.0536,PT-1
Sr-94,U-235,65.62,70.24,0.0217,PT-1
Sb-132,U-235,68.26,72.23,0.0230,PT-1
Y-94,U-235,35.69,31.73,0.0418,PT-1
Sr-93,U-235,33.82,34.07,0.0408,PT-1
Rb-90,U-235,82.92,63.49,0.0264,PT-1
Ce-145,U-235,77.62,93.27,0.0211,PT-1
Sb-132,U-235,82.26,84.29,0.0230,PT-1
Cs-140,U-235,64.38,61.61,0.0301,PT-1
Sr-93,U-235,122.81,134.16,0.0174,PT-1
Rh-108,U-235,46.17,49.20,0.0582,PT-1
Te-133,U-235,63.26,68.99,0.0310,PT-1
La-144,U-235,73.37,76.34,0.0291,PT-1
Tc-104,U-235,35.11,46.90,0.0522,PT-1
U-239,U-238,17.86,18.01,0.0035,PT-1
U-239,U-238,17.44,18.01,0.0035,PT-1
U-239,U-238,17.18,18.01,0.0035,PT-1
U-239,U-238,17.91,18.01,0.0035,PT-1
